Unnamed: 0,Country,Production (Tons),Production per Person (Kg),Acreage (Hectare),Yield (Kg / Hectare)
,Brazil,2993780.0,14.288,1836741,1629.9
,Vietnam,1845032.98,19.491,653192,2824.6
,Indonesia,765415.0,2.888,1249615,612.5
,Colombia,560340.0,11.223,840112,667.0
,Ethiopia,456000.0,4.24,685294,665.4
,Honduras,400674.42,44.459,336318,1191.4
,Uganda,374760.0,9.653,692553,541.1
,Peru,365582.14,11.703,454717,804.0
,India,334000.0,0.25,422924,789.7
,Guatemala,226700.0,13.102,363875,623.0
,Mexico,174341.0,1.398,641799,271.6
,Nicaragua,167831.0,26.704,157917,1062.8
,Laos,161200.0,23.157,83320,1934.7
,Côte d'Ivoire,134700.0,5.408,999938,134.7
,China,108906.0,0.078,34329,3172.4
,Costa Rica,88200.0,17.628,88416,997.6
,Tanzania,73027.0,1.347,267556,272.9
,Philippines,60607.18,0.57,112553,538.5
,Venezuela,54134.86,1.701,156177,346.6
,Congo-Kinshasa,54089.21,0.665,137721,392.7
,Madagascar,44394.54,1.69,79476,558.6
,Papua New Guinea,42480.0,4.963,40145,1058.2
,Guinea,40273.08,3.389,102137,394.3
,Cameroon,36096.13,1.517,116218,310.6
,Kenya,34500.0,0.677,108200,318.9
,El Salvador,33900.0,5.103,144175,235.1
,Thailand,30000.0,0.434,47697,629.0
,Bolivia,23451.98,2.074,25548,917.9
,Yemen,21077.32,0.729,34851,604.8
,Haiti,20700.0,1.863,39911,518.7
,Rwanda,19466.88,1.622,18220,1068.5
,Burundi,17100.0,1.601,18760,911.5
,Togo,16817.87,2.288,40212,418.2
,Dominican Republic,16186.14,1.577,34821,464.8
,East Timor,13313.98,10.555,22627,588.4
,Angola,10304.0,0.352,31225,330.0
,Central African Republic,10061.59,2.124,44440,226.4
,Malawi,10000.0,0.558,4627,2161.1
,Cuba,9100.0,0.811,27967,325.4
,Myanmar,8928.27,0.166,12664,705.0
,Jamaica,7990.0,2.928,11090,720.4
,Panama,6900.0,1.659,15354,449.4
,Zambia,6636.6,0.393,7310,907.9
,Sri Lanka,5306.2,0.247,5857,906.0
,Ecuador,4916.87,0.288,29481,166.8
,Malaysia,4150.55,0.127,1504,2760.3
,Equatorial Guinea,4138.75,3.386,11274,367.1
,Congo-Brazzaville,3138.04,0.581,10104,310.6
,Sierra Leone,2400.0,0.311,1625,1477.3
,United States of America,2270.0,0.007,2914,779.0
,Nigeria,1815.14,0.009,1398,1298.4
,Taiwan,906.0,0.038,1142,793.3
,Mozambique,816.01,0.028,841,970.4
,Ghana,736.0,0.025,460,1600.0
,Zimbabwe,652.88,0.044,2612,250.0
,Liberia,630.68,0.144,2696,233.9
,Guyana,600.0,0.767,767,782.0
,Trinidad and Tobago,591.4,0.436,4050,146.0
,Paraguay,388.0,0.055,309,1255.7
,Cambodia,375.64,0.023,477,787.1
,Nepal,315.0,0.011,2355,133.8
,Dominica,230.7,3.236,648,355.9
,Saint Vincent and the Grenadines,183.08,1.671,543,337.0
,Comoros,139.8,0.164,984,142.1
,Gabon,98.72,0.048,289,342.0
,Belize,89.62,0.226,72,1247.3
,Benin,55.0,0.005,283,194.4
,Mauritius,50.0,0.04,4,12500.0
,Saudi Arabia,50.0,0.001,100,500.0
,Cape Verde,40.73,0.075,178,228.3
,Vanuatu,36.25,0.119,59,617.1
,Saint Lucia,20.0,0.112,20,1000.0
,Tonga,15.32,0.152,10,1495.2
,Fiji,14.05,0.016,22,635.0
,Samoa,11.32,0.057,39,289.2
,São Tomé and Príncipe,7.59,0.038,131,58.0
,Suriname,6.02,0.011,292,20.6
,Cook Islands,0.45,0.024,1,609.0
,Spain,0.0,0.0,0,
