id,url,title,price,price_per_m2,rooms,area,floor,total_floors,address,district,city
699498798,https://krisha.kz/a/show/699498798,2-комнатная квартира · 60 м² · 8/10 этаж,31700000,528333,2,60,8,10,"Наурызбайский р-н, мкр Шугыла, Алтын Орда",Наурызбайский р-н,Алматы
699278233,https://krisha.kz/a/show/699278233,2-комнатная квартира · 51.2 м² · 3/12 этаж,43000000,839844,2,51.2,3,12,"Ауэзовский р-н, Абая 55 — Абая Момышулы",Ауэзовский р-н,Алматы
692249678,https://krisha.kz/a/show/692249678,3-комнатная квартира · 79.6 м² · 1/6 этаж,38000000,477387,3,79.6,1,6,"Алматы р-н, Хиуаз Доспанова 2/1 — Жумабаева Кошкарбаева",Алматы р-н,Астана
1009451227,https://krisha.kz/a/show/1009451227,1-комнатная квартира · 36 м² · 3/12 этаж,16800000,466667,1,36,3,12,"Нура р-н, Айтматова 36 — Для покупателя нет комиссии!",Нура р-н,Астана
1007836438,https://krisha.kz/a/show/1007836438,2-комнатная квартира · 58 м² · 8/8 этаж,35000000,603448,2,58,8,8,"Алматы р-н, Байтурсынова 53",Алматы р-н,Астана
1001979156,https://krisha.kz/a/show/1001979156,3-комнатная квартира · 71.3 м² · 3/3 этаж,67000000,939691,3,71.3,3,3,"Бостандыкский р-н, Какимбек Салыков — Школа Tamos выше Аль-Фараби",Бостандыкский р-н,Алматы
698358923,https://krisha.kz/a/show/698358923,2-комнатная квартира · 60 м² · 4/8 этаж,37000000,616667,2,60,4,8,"Жетысуский р-н, Северное кольцо 29 — Северное кольцо",Жетысуский р-н,Алматы
695468431,https://krisha.kz/a/show/695468431,4-комнатная квартира · 129.5 м² · 2/9 этаж,71500000,552124,4,129.5,2,9,"Сарыарка р-н, Косшыгулулы 8/1",Сарыарка р-н,Астана
694253095,https://krisha.kz/a/show/694253095,2-комнатная квартира · 106 м² · 7/8 этаж,93000000,877358,2,106,7,8,"Медеуский р-н, Омаровой 37",Медеуский р-н,Алматы
22035081,https://krisha.kz/a/show/22035081,3-комнатная квартира · 86 м² · 3/5 этаж,56500000,656977,3,86,3,5,"Наурызбайский р-н, мкр Таусамалы, Набережная — SWISS HOTEL",Наурызбайский р-н,Алматы
1009782354,https://krisha.kz/a/show/1009782354,2-комнатная квартира · 44 м² · 9 этаж,38500000,875000,2,44,,,Сыганак 22/1,Сыганак 22/1,Астана
1009694986,https://krisha.kz/a/show/1009694986,1-комнатная квартира · 41.7 м² · 7/9 этаж,19000000,455635,1,41.7,7,9,"Сарайшык р-н, Трасса Астана-Караганда 4/3",Сарайшык р-н,Астана
1009515341,https://krisha.kz/a/show/1009515341,3-комнатная квартира · 70.9 м² · 2/9 этаж,50000000,705219,3,70.9,2,9,"Ауэзовский р-н, мкр Аксай-3Б — Толе би-Яссауи",Ауэзовский р-н,Алматы
1009365060,https://krisha.kz/a/show/1009365060,4-комнатная квартира · 128 м² · 2/7 этаж,76000000,593750,4,128,2,7,"Есильский р-н, Аль- Фараби 22",Есильский р-н,Астана
1009028756,https://krisha.kz/a/show/1009028756,3-комнатная квартира · 67.9 м² · 12/12 этаж,41000000,603829,3,67.9,12,12,"Алатауский р-н, мкр Акбулак, Дарабоз 23",Алатауский р-н,Алматы
1008914202,https://krisha.kz/a/show/1008914202,1-комнатная квартира · 38 м² · 5/12 этаж,34500000,907895,1,38,5,12,"Наурызбайский р-н, мкр Акжар, Белжайлау — Абая Алатау напротив акимита",Наурызбайский р-н,Алматы
1008894689,https://krisha.kz/a/show/1008894689,2-комнатная квартира · 55.14 м² · 1/3 этаж,60000000,1088139,2,55.14,1,3,"Бостандыкский р-н, Жаксылык Ушкемпиров",Бостандыкский р-н,Алматы
1007949846,https://krisha.kz/a/show/1007949846,2-комнатная квартира · 63 м² · 4/12 этаж,46500000,738095,2,63,4,12,"Есильский р-н, Хусейн Бен Талал 28",Есильский р-н,Астана
1006355420,https://krisha.kz/a/show/1006355420,2-комнатная квартира · 47.4 м² · 1/6 этаж,23000000,485232,2,47.4,1,6,"Турксибский р-н, мкр Кайрат",Турксибский р-н,Алматы
1005273170,https://krisha.kz/a/show/1005273170,2-комнатная квартира · 70 м² · 9/9 этаж,37500000,535714,2,70,9,9,"Ауэзовский р-н, мкр Аксай-1А",Ауэзовский р-н,Алматы
1005244431,https://krisha.kz/a/show/1005244431,3-комнатная квартира · 72 м² · 8/9 этаж,60000000,833333,3,72,8,9,"Есильский р-н, Е-321 6/2",Есильский р-н,Астана
1003663494,https://krisha.kz/a/show/1003663494,3-комнатная квартира · 60 м² · 2/4 этаж,34500000,575000,3,60,2,4,"Ауэзовский р-н, мкр №2 40 — ул. Алтынсарина - уг.ул. Домостроительная (напротив базара Сары-Арка",Ауэзовский р-н,Алматы
1002923135,https://krisha.kz/a/show/1002923135,3-комнатная квартира · 96 м² · 3/9 этаж,64000000,666667,3,96,3,9,"Медеуский р-н, Омаровой 35/1 — Достык",Медеуский р-н,Алматы
685618231,https://krisha.kz/a/show/685618231,3-комнатная квартира · 85 м² · 9/9 этаж,42000000,494118,3,85,9,9,"Медеуский р-н, мкр Атырау, Кульджинский тракт — Halyk arena",Медеуский р-н,Алматы
1009981172,https://krisha.kz/a/show/1009981172,1-комнатная квартира · 44 м² · 9/9 этаж,32000000,727273,1,44,9,9,"Алатауский р-н, Рыскулова 5 — Момышулы",Алатауский р-н,Алматы
1009301738,https://krisha.kz/a/show/1009301738,3-комнатная квартира · 58 м² · 4/5 этаж,35000000,603448,3,58,4,5,"Ауэзовский р-н, мкр №2 10а — Ул.Жубанова,угол ул.Алтынсарина",Ауэзовский р-н,Алматы
1008881835,https://krisha.kz/a/show/1008881835,1-комнатная квартира · 27 м² · 4/9 этаж,30500000,1129630,1,27,4,9,"Ауэзовский р-н, Навои 58/4 — Угол Жандосова",Ауэзовский р-н,Алматы
1008445421,https://krisha.kz/a/show/1008445421,4-комнатная квартира · 143.7 м² · 10/10 этаж,82000000,570633,4,143.7,10,10,"Ауэзовский р-н, Навои 72 — Навои – Жандосова",Ауэзовский р-н,Алматы
1008315819,https://krisha.kz/a/show/1008315819,1-комнатная квартира · 34.5 м² · 8/9 этаж,23200000,672464,1,34.5,8,9,"р-н Байконур, Адольфа Янушкевича 10 — 12 месяцев\ Янушкевича/Кенесары",р-н Байконур,Астана
1008311441,https://krisha.kz/a/show/1008311441,1-комнатная квартира · 37 м² · 11/22 этаж,32900000,889189,1,37,11,22,"Есильский р-н, Туркестан 14 — Ботанического сада",Есильский р-н,Астана
1008100898,https://krisha.kz/a/show/1008100898,3-комнатная квартира · 70 м² · 6/18 этаж,65000000,928571,3,70,6,18,"Ауэзовский р-н, Утеген батыра 11Вк6",Ауэзовский р-н,Алматы
1006985322,https://krisha.kz/a/show/1006985322,2-комнатная квартира · 52.4 м² · 5/5 этаж,32500000,620229,2,52.4,5,5,"Ауэзовский р-н, Токтабаева 20 — Токтабаева - Сулейманова",Ауэзовский р-н,Алматы
1006816928,https://krisha.kz/a/show/1006816928,2-комнатная квартира · 69.1 м² · 12/16 этаж,59924529,867215,2,69.1,12,16,"Бостандыкский р-н, Каныша Сатпаева",Бостандыкский р-н,Алматы
1006533740,https://krisha.kz/a/show/1006533740,3-комнатная квартира · 80 м² · 15/16 этаж,53000000,662500,3,80,15,16,"Алматы р-н, Байтурсынова 16",Алматы р-н,Астана
1006430106,https://krisha.kz/a/show/1006430106,2-комнатная квартира · 62.5 м² · 5/12 этаж,28400000,454400,2,62.5,5,12,Чингиз Айтматов 65,Чингиз Айтматов 65,Астана
1004255392,https://krisha.kz/a/show/1004255392,2-комнатная квартира · 63.4 м² · 3/5 этаж,32000000,504732,2,63.4,3,5,"Турксибский р-н, мкр Жас Канат, 1/62",Турксибский р-н,Алматы
1009307577,https://krisha.kz/a/show/1009307577,2-комнатная квартира · 52 м² · 10/12 этаж,25700000,494231,2,52,10,12,"Алматы р-н, Кошкарбаева 34 — Наш подъезд ДоДо Пицца",Алматы р-н,Астана
1009778758,https://krisha.kz/a/show/1009778758,3-комнатная квартира · 59 м²,62500000,1059322,3,59,,,"Ауэзовский р-н, Навои 30/1 — Навои",Ауэзовский р-н,Алматы
1010008086,https://krisha.kz/a/show/1010008086,3-комнатная квартира · 90.4 м²,38781600,429000,3,90.4,,,"Абайский р-н, Туркия 3/1",Абайский р-н,Шымкент
1010083481,https://krisha.kz/a/show/1010083481,3-комнатная квартира · 83.49 м²,53600580,642000,3,83.49,,,"Нура р-н, Хусейн бен Талал 1, 11/1-2",Нура р-н,Астана
1006681944,https://krisha.kz/a/show/1006681944,2-комнатная квартира · 56.5 м²,30510000,540000,2,56.5,,,"Есильский р-н, ул. Е 118, уч. 2",Есильский р-н,Астана
1003103615,https://krisha.kz/a/show/1003103615,3-комнатная квартира · 98.6 м²,45356000,460000,3,98.6,,,Шажимбаева 101,Шажимбаева 101,Петропавловск
